sentence_id,volume,group_start,seg_idx,src_file,t_start,t_end,duration,media_file,source
144,1,101,43,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,191.730,193.438,1.708,media/ZS_F1_0144.mp3,F1-GMS-0101C 03:11.73-03:13.44
145,1,101,44,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,196.338,197.560,1.222,media/ZS_F1_0145.mp3,F1-GMS-0101C 03:16.34-03:17.56
146,1,101,45,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,200.491,201.928,1.437,media/ZS_F1_0146.mp3,F1-GMS-0101C 03:20.49-03:21.93
147,1,101,46,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,205.004,206.373,1.369,media/ZS_F1_0147.mp3,F1-GMS-0101C 03:25.00-03:26.37
148,1,101,47,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,209.296,210.642,1.345,media/ZS_F1_0148.mp3,F1-GMS-0101C 03:29.30-03:30.64
149,1,101,48,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,213.289,214.557,1.269,media/ZS_F1_0149.mp3,F1-GMS-0101C 03:33.29-03:34.56
150,1,101,49,GLOSSIKA-ENZS-F1-GMS-0101C.mp3,217.524,218.897,1.373,media/ZS_F1_0150.mp3,F1-GMS-0101C 03:37.52-03:38.90
151,1,151,0,GLOSSIKA-ENZS-F1-GMS-0151C.mp3,6.940,9.612,2.671,media/ZS_F1_0151.mp3,F1-GMS-0151C 00:06.94-00:09.61
152,1,151,1,GLOSSIKA-ENZS-F1-GMS-0151C.mp3,12.619,15.110,2.492,media/ZS_F1_0152.mp3,F1-GMS-0151C 00:12.62-00:15.11
153,1,151,2,GLOSSIKA-ENZS-F1-GMS-0151C.mp3,17.916,20.293,2.377,media/ZS_F1_0153.mp3,F1-GMS-0151C 00:17.92-00:20.29
154,1,151,3,GLOSSIKA-ENZS-F1-GMS-0151C.mp3,23.121,25.975,2.854,media/ZS_F1_0154.mp3,F1-GMS-0151C 00:23.12-00:25.98
155,1,151,4,GLOSSIKA-ENZS-F1-GMS-0151C.mp3,28.745,31.395,2.650,media/ZS_F1_0155.mp3,F1-GMS-0151C 00:28.74-00:31.39
156,1,151,5,GLOSSIKA-ENZS-F1-GMS-0151C.mp3,34.332,37.471,3.139,media/ZS_F1_0156.mp3,F1-GMS-0151C 00:34.33-00:37.47
